property_type,price,location,city,baths,bedrooms,Area_in_Marla
House,7200000,Shahdara,Lahore,3,4,7.0
House,39500000,DHA Defence,Lahore,6,5,20.0
House,14500000,Iqbal Park,Lahore,4,4,6.0
House,22500000,Bahria Town,Lahore,7,5,12.0
House,27500000,DHA Defence,Lahore,5,4,10.0
House,32500000,DHA Defence,Lahore,6,5,20.0
House,43200000,DHA Defence,Lahore,6,5,20.0
House,3900000,Baldia Town,Karachi,4,4,2.2
House,21000000,Scheme 33,Karachi,4,4,4.8
Flat,8500000,North Nazimabad,Karachi,2,2,4.8
Flat,12900000,DHA Defence,Karachi,3,3,6.4
Flat,6200000,Gulistan-e-Jauhar,Karachi,3,3,6.0
House,6642000,Fazaia Housing Scheme,Karachi,3,3,5.0
House,12500000,Fazaia Housing Scheme,Karachi,5,4,11.0
Flat,17500000,North Nazimabad,Karachi,3,3,7.6
Flat,4666000,Fazaia Housing Scheme,Karachi,2,2,5.8
Flat,7960000,Fazaia Housing Scheme,Karachi,4,3,9.8
Flat,10100000,Fazaia Housing Scheme,Karachi,5,4,12.5
Flat,3763000,Fazaia Housing Scheme,Karachi,2,2,5.2
Flat,4090000,Fazaia Housing Scheme,Karachi,2,2,5.7
Flat,4797000,Fazaia Housing Scheme,Karachi,4,3,6.7
Flat,5136000,Fazaia Housing Scheme,Karachi,4,3,7.1
Flat,10100000,Fazaia Housing Scheme,Karachi,5,4,12.5
Flat,4666000,Fazaia Housing Scheme,Karachi,2,2,5.8
Flat,7960000,Fazaia Housing Scheme,Karachi,4,3,9.8
Flat,10100000,Fazaia Housing Scheme,Karachi,5,4,12.5
Flat,3763000,Fazaia Housing Scheme,Karachi,2,2,5.2
Flat,4090000,Fazaia Housing Scheme,Karachi,2,2,5.7
Flat,4797000,Fazaia Housing Scheme,Karachi,4,3,6.7
Flat,5136000,Northern Bypass,Karachi,4,3,7.1
House,7500000,Bahria Town Karachi,Karachi,3,3,5.0
Flat,4800000,Bahria Town Karachi,Karachi,2,2,4.2
Flat,2200000,Malir,Karachi,1,1,1.8
House,17500000,Bahria Town Karachi,Karachi,4,4,14.0
Flat,14500000,Gulistan-e-Jauhar,Karachi,6,4,12.0
Flat,40000000,Cantt,Karachi,3,3,9.8
House,6642000,Northern Bypass,Karachi,3,3,5.0
House,9205000,Northern Bypass,Karachi,4,3,11.0
House,12500000,Northern Bypass,Karachi,5,4,11.0
House,16500000,Gulistan-e-Jauhar,Karachi,6,6,6.7
House,4500000,Lehtarar Road,Islamabad,3,2,5.0
House,23500000,G-11,Islamabad,4,4,8.0
House,37900000,G-9,Islamabad,6,6,14.2
Flat,25000000,F-10,Islamabad,1,2,4.4
House,13000000,E-14,Islamabad,5,6,10.0
Flat,16500000,F-8,Islamabad,1,1,3.0
Flat,29500000,F-8,Islamabad,2,2,6.7
Flat,7500000,Bani Gala,Islamabad,3,2,7.1
Flat,10000000,Diplomatic Enclave,Islamabad,1,1,2.0
House,9500000,Soan Garden,Islamabad,3,3,10.0
Flat,12500000,DHA Defence,Islamabad,3,3,8.9
House,8000000,Paradise Valley,Faisalabad,3,6,5.0
House,21000000,Askari 14,Rawalpindi,6,5,10.0
House,5000000,Misryal Road,Rawalpindi,3,2,5.0
House,15000000,Bahria Town Rawalpindi,Rawalpindi,5,4,8.0
House,21000000,Bahria Town Rawalpindi,Rawalpindi,6,5,10.0
Flat,5500000,Bahria Town Rawalpindi,Rawalpindi,2,2,4.0
Flat,3500000,Bahria Town Rawalpindi,Rawalpindi,1,1,3.2
House,27500000,DHA Defence,Lahore,5,4,10.0
House,20500000,State Life Housing Society,Lahore,5,4,10.0
House,31500000,DHA Defence,Lahore,6,5,20.0
House,39000000,DHA Defence,Lahore,5,4,10.0
House,25000000,DHA Defence,Lahore,4,4,10.0
House,29000000,DHA Defence,Lahore,5,4,10.0
House,19500000,Cantt,Lahore,5,4,10.0
House,43500000,DHA Defence,Lahore,6,5,20.0
House,32000000,DHA Defence,Lahore,5,4,10.0
House,17500000,Bahria Town,Lahore,7,5,10.0
House,41700000,DHA Defence,Lahore,6,5,20.0
House,18000000,Sabzazar Scheme,Lahore,4,4,10.0
House,5500000,Model Colony,Lahore,2,2,5.0
House,24000000,Askari,Lahore,3,3,10.0
House,8200000,Iqbal Park,Lahore,3,3,3.0
House,19000000,Mustafa Town,Lahore,4,5,10.0
House,9000000,Walton Road,Lahore,4,4,5.0
House,23500000,DHA Defence,Lahore,5,4,10.0
House,15000000,Samanabad,Lahore,6,5,6.0
House,35000000,Eden,Lahore,6,5,20.0
House,32000000,DHA Defence,Lahore,5,4,10.0
House,20000000,New Super Town,Lahore,3,3,10.0
House,37500000,West Wood Housing Society,Lahore,6,6,20.0
House,41500000,DHA Defence,Lahore,6,5,20.0
House,35000000,DHA Defence,Lahore,6,5,20.0
House,37500000,DHA Defence,Lahore,6,5,20.0
House,42500000,DHA Defence,Lahore,6,5,20.0
House,22200000,Askari,Lahore,3,3,10.0
House,30000000,DHA Defence,Lahore,6,5,10.0
House,13000000,Ghulam Mohammad Abad,Faisalabad,3,4,7.0
Flat,2200000,Liaquat Bagh,Rawalpindi,1,2,2.0
House,43000000,Bahria Town Rawalpindi,Rawalpindi,6,5,20.0
